Tissue,Cell Type,Cell Count,Tissue Composition,Disease,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
brain,normal,793,0.00%,normal,SLC26A3,1.599329829,0.072836142,4
brain,normal,793,0.00%,normal,RASGEF1B,1.845122689,0.165792071,19
brain,normal,793,,normal,RP11-701H24.9,,,
brain,normal,793,,normal,LINGO3,,,
brain,normal,793,0.00%,normal,PDE4DIP,2.010478292,0.228327588,14
brain,normal,793,0.00%,normal,AC159540.1,1.643362284,0.089488692,2
brain,normal,793,,normal,RP11-289H16.1,,,
brain,normal,793,,normal,RP11-219A15.1,,,
brain,normal,793,,normal,LINC01609,,,
brain,normal,793,,normal,PHYHIP,,,
brain,normal,793,0.00%,normal,RP11-745L13.2,1.441702843,0.013223496,1
brain,normal,19237,0.00%,normal,SLC26A3,1.726913452,0.121086747,26
brain,normal,19237,0.02%,normal,RASGEF1B,1.817844719,0.155475868,2092
brain,normal,19237,,normal,RP11-701H24.9,,,
brain,normal,19237,0.00%,normal,LINGO3,1.992413954,0.221495871,22
brain,normal,19237,0.04%,normal,PDE4DIP,2.100990415,0.262558194,4131
brain,normal,19237,0.00%,normal,AC159540.1,1.670874953,0.099893655,16
brain,normal,19237,,normal,RP11-289H16.1,,,
brain,normal,19237,,normal,RP11-219A15.1,,,
brain,normal,19237,0.00%,normal,LINC01609,1.63454318,0.086153412,1
brain,normal,19237,0.00%,normal,PHYHIP,1.647983742,0.091236472,80
brain,normal,19237,0.00%,normal,RP11-745L13.2,1.609160953,0.076554156,27
brain,normal,19237,0.00%,normal,SLC26A3,1.726913452,0.121086747,26
brain,normal,19237,0.02%,normal,RASGEF1B,1.817844719,0.155475868,2092
brain,normal,19237,,normal,RP11-701H24.9,,,
brain,normal,19237,0.00%,normal,LINGO3,1.992413954,0.221495871,22
brain,normal,19237,0.04%,normal,PDE4DIP,2.100990415,0.262558194,4131
brain,normal,19237,0.00%,normal,AC159540.1,1.670874953,0.099893655,16
brain,normal,19237,,normal,RP11-289H16.1,,,
brain,normal,19237,,normal,RP11-219A15.1,,,
brain,normal,19237,0.00%,normal,LINC01609,1.63454318,0.086153412,1
brain,normal,19237,0.00%,normal,PHYHIP,1.647983742,0.091236472,80
brain,normal,19237,0.00%,normal,RP11-745L13.2,1.609160953,0.076554156,27
brain,normal,3046,0.00%,normal,SLC26A3,1.585236708,0.067506292,3
brain,normal,3046,0.00%,normal,RASGEF1B,1.744756562,0.127834799,7
brain,normal,3046,,normal,RP11-701H24.9,,,
brain,normal,3046,0.00%,normal,LINGO3,2.802139997,0.527724605,1
brain,normal,3046,0.00%,normal,PDE4DIP,2.600071192,0.451304592,2
brain,normal,3046,,normal,AC159540.1,,,
brain,normal,3046,,normal,RP11-289H16.1,,,
brain,normal,3046,,normal,RP11-219A15.1,,,
brain,normal,3046,,normal,LINC01609,,,
brain,normal,3046,0.00%,normal,PHYHIP,2.944954236,0.581735247,3
brain,normal,3046,,normal,RP11-745L13.2,,,
brain,normal,2192066,0.94%,normal,SLC26A3,2.115172821,0.267921811,103409
brain,normal,2192066,1.69%,normal,RASGEF1B,2.252557805,0.319879174,186769
brain,normal,2192066,0.30%,normal,RP11-701H24.9,1.895428648,0.184817185,32912
brain,normal,2192066,0.05%,normal,LINGO3,1.928823778,0.197446825,5158
brain,normal,2192066,1.94%,normal,PDE4DIP,1.920877796,0.194441749,214459
brain,normal,2192066,0.13%,normal,AC159540.1,1.823827602,0.157738523,14201
brain,normal,2192066,0.07%,normal,RP11-289H16.1,1.850367308,0.167775523,7388
brain,normal,2192066,0.08%,normal,RP11-219A15.1,1.876216567,0.177551405,9326
brain,normal,2192066,0.05%,normal,LINC01609,2.126429631,0.272179002,5089
brain,normal,2192066,0.26%,normal,PHYHIP,1.873957976,0.176697233,29150
brain,normal,2192066,0.09%,normal,RP11-745L13.2,1.833573234,0.161424205,9577
brain,normal,196474,0.09%,normal,SLC26A3,2.191499294,0.296787573,9656
brain,normal,196474,0.18%,normal,RASGEF1B,2.26905439,0.326117985,19709
brain,normal,196474,0.01%,normal,RP11-701H24.9,2.134318007,0.275162292,1501
brain,normal,196474,0.01%,normal,LINGO3,1.82927609,0.159799076,1231
brain,normal,196474,0.11%,normal,PDE4DIP,1.925978453,0.196370757,12291
brain,normal,196474,0.01%,normal,AC159540.1,1.781701668,0.141806997,1627
brain,normal,196474,0.02%,normal,RP11-289H16.1,1.778585056,0.140628332,1896
brain,normal,196474,0.00%,normal,RP11-219A15.1,1.887023809,0.181638575,521
brain,normal,196474,0.00%,normal,LINC01609,2.066058263,0.249347271,422
brain,normal,196474,0.04%,normal,PHYHIP,1.950720496,0.205727902,4168
brain,normal,196474,0.02%,normal,RP11-745L13.2,1.815517612,0.154595784,1741
brain,Alzheimer disease,24815,0.04%,Alzheimer disease,SLC26A3,2.641845703,0.467103214,4960
brain,Alzheimer disease,24815,0.07%,Alzheimer disease,RASGEF1B,3.14707527,0.658175012,7761
brain,Alzheimer disease,24815,0.01%,Alzheimer disease,RP11-701H24.9,1.878377437,0.17836862,1027
brain,Alzheimer disease,24815,0.00%,Alzheimer disease,LINGO3,1.831488141,0.160635647,59
brain,Alzheimer disease,24815,0.02%,Alzheimer disease,PDE4DIP,2.000284629,0.224472467,2623
brain,Alzheimer disease,24815,0.01%,Alzheimer disease,AC159540.1,1.963839259,0.210689262,1049
brain,Alzheimer disease,24815,0.01%,Alzheimer disease,RP11-289H16.1,2.227111093,0.31025553,1603
