Tissue,Cell Type,Cell Count,Tissue Composition,Sex,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
brain,female,151,,female,SLC26A3,,,
brain,female,151,0.00%,female,RASGEF1B,2.555215359,0.437986356,2
brain,female,151,,female,RP11-701H24.9,,,
brain,female,151,,female,LINGO3,,,
brain,female,151,0.00%,female,PDE4DIP,2.569419384,0.443342039,4
brain,female,151,,female,AC159540.1,,,
brain,female,151,,female,RP11-289H16.1,,,
brain,female,151,,female,RP11-219A15.1,,,
brain,female,151,,female,LINC01609,,,
brain,female,151,,female,PHYHIP,,,
brain,female,151,,female,RP11-745L13.2,,,
brain,female,3502,0.00%,female,SLC26A3,1.974603891,0.219064556,4
brain,female,3502,0.00%,female,RASGEF1B,1.92826873,0.201593704,359
brain,female,3502,,female,RP11-701H24.9,,,
brain,female,3502,0.00%,female,LINGO3,2.016440582,0.234839242,10
brain,female,3502,0.02%,female,PDE4DIP,2.126523369,0.276346383,1994
brain,female,3502,,female,AC159540.1,,,
brain,female,3502,,female,RP11-289H16.1,,,
brain,female,3502,,female,RP11-219A15.1,,,
brain,female,3502,,female,LINC01609,,,
brain,female,3502,0.00%,female,PHYHIP,1.5622859,0.063598462,6
brain,female,3502,,female,RP11-745L13.2,,,
brain,female,3502,0.00%,female,SLC26A3,1.974603891,0.219064556,4
brain,female,3502,0.00%,female,RASGEF1B,1.92826873,0.201593704,359
brain,female,3502,,female,RP11-701H24.9,,,
brain,female,3502,0.00%,female,LINGO3,2.016440582,0.234839242,10
brain,female,3502,0.02%,female,PDE4DIP,2.126523369,0.276346383,1994
brain,female,3502,,female,AC159540.1,,,
brain,female,3502,,female,RP11-289H16.1,,,
brain,female,3502,,female,RP11-219A15.1,,,
brain,female,3502,,female,LINC01609,,,
brain,female,3502,0.00%,female,PHYHIP,1.5622859,0.063598462,6
brain,female,3502,,female,RP11-745L13.2,,,
brain,male,1331163,1.10%,male,SLC26A3,2.261469589,0.327228377,100133
brain,male,1331163,1.81%,male,RASGEF1B,2.521038575,0.425099867,164745
brain,male,1331163,0.39%,male,RP11-701H24.9,1.897203843,0.189880568,35413
brain,male,1331163,0.04%,male,LINGO3,1.92185595,0.199175741,3409
brain,male,1331163,1.76%,male,PDE4DIP,1.949737532,0.209688599,160472
brain,male,1331163,0.14%,male,AC159540.1,1.893441683,0.188462031,12496
brain,male,1331163,0.10%,male,RP11-289H16.1,1.965777392,0.21573649,8646
brain,male,1331163,0.16%,male,RP11-219A15.1,1.896684283,0.189684666,14577
brain,male,1331163,0.23%,male,LINC01609,2.472394207,0.40675832,20810
brain,male,1331163,0.26%,male,PHYHIP,1.904723586,0.192715917,23966
brain,male,1331163,0.10%,male,RP11-745L13.2,1.906358427,0.19333234,9547
brain,female,442228,0.49%,female,SLC26A3,2.213412188,0.309108148,44791
brain,female,442228,0.82%,female,RASGEF1B,2.420687253,0.387262013,74866
brain,female,442228,0.17%,female,RP11-701H24.9,1.840337258,0.168438802,15134
brain,female,442228,0.02%,female,LINGO3,1.958232162,0.212891532,1727
brain,female,442228,0.94%,female,PDE4DIP,2.026639356,0.238684729,85895
brain,female,442228,0.07%,female,AC159540.1,1.847315547,0.171069993,6561
brain,female,442228,0.05%,female,RP11-289H16.1,1.82075861,0.161056597,4423
brain,female,442228,0.07%,female,RP11-219A15.1,1.835763964,0.166714424,6646
brain,female,442228,0.02%,female,LINC01609,1.910663332,0.194955521,1792
brain,female,442228,0.10%,female,PHYHIP,1.862830015,0.176919784,9068
brain,female,442228,0.05%,female,RP11-745L13.2,1.817267548,0.159740279,4753
brain,male,158756,0.12%,male,SLC26A3,2.371351175,0.368659654,10751
brain,male,158756,0.20%,male,RASGEF1B,2.611658072,0.4592683,18605
brain,male,158756,0.02%,male,RP11-701H24.9,2.061104892,0.251680093,1901
brain,male,158756,0.01%,male,LINGO3,1.814182057,0.158576883,952
brain,male,158756,0.10%,male,PDE4DIP,1.930163726,0.20230822,9113
brain,male,158756,0.02%,male,AC159540.1,1.871012169,0.180004896,1619
brain,male,158756,0.02%,male,RP11-289H16.1,2.109538865,0.26994231,2062
